Filename,Actual,Predicted,Title,Author
49602-8.txt,1770,1891.91234847514,The Lame Lover,Samuel Foote
49636-0.txt,1601,1883.996770243932,Satiro-Mastix,Thomas Dekker
49723-0.txt,1728,1881.6066744866446,The Poems of Oliver Goldsmith,Oliver Goldsmith
50104-0.txt,1800,1906.7882674325535,Jessica's First Prayer--Jessica's Mother,Hesba Stretton
50108-0.txt,1761,1882.3306973082022,A Father's Legacy to his Daughters,John Gregory
50143-0.txt,1634,1781.7293911520383,"A Collection of Emblemes, Ancient and Moderne",George Wither
50212-0.txt,1702,1906.3865017954874,Dionysius of Halicarnassus On Literary Composition,Dionysius of Halicarnassus
50416-0.txt,1665,1808.8792318491614,"The English Rogue: Described in the Life of Meriton Latroon, A Witty Extravagant",Francis Kirkman
5048.txt,2000,1942.5375337955088,State of the Union Addresses of William J. Clinton,William J. Clinton
50500.txt,1770,1904.1935963554756,The Deserted Village,Oliver Goldsmith
50693-0.txt,2000,1914.3856677411827,Battlefields of the Marne 1914,Michelin & Cie
50808-0.txt,1728,1920.6483431037086,Eutropius,Flavius Eutropius
50922-0.txt,1795,1896.2535243702866,Perpetual Peace,Immanuel Kant
50949-0.txt,1665,1818.4268684356355,"The English Rogue: Continued in the Life of Meriton Latroon, and Other Extravagants",Richard Head and Francis Kirkman
51017-0.txt,1786,1902.3979281957747,Anecdotes of the Learned Pig,James Boswell and Hester Lynch Piozzi
51228-0.txt,1800,1916.6020554956308,The Flower-Patch Among the Hills,Flora Klickmann
51334-0.txt,1753,1890.262854355096,The Story of Elizabeth Canning Considered,John Hill
5142-0.txt,1750,1905.5979407321313,Graustark,George Barr McCutcheon
51457-8.txt,1711,1894.2779360079892,"A narrative of the sufferings, preservation and deliverance, of Capt. John Dean and company",John Dean
51493.txt,1992,1908.9929567964184,Kreativity For Kats,Fritz Leiber
51687.txt,1997,1911.538793553234,The Spy in the Elevator,Donald E. Westlake
51967-8.txt,1751,1857.8290210671269,"The Life and Adventures of Peter Wilkins, Complete",Robert Paltock
5198.txt,1781,1896.8911762937764,The Library,George Crabbe
51985-0.txt,1810,1923.7589959749807,The Trufflers,Samuel Merwin
51985-8.txt,1810,1923.7589959749798,The Trufflers,Samuel Merwin
52147-0.txt,1577,1836.2400255994166,"Holinshed's Chronicles of England, Scotland, and Ireland",Raphael Holinshed
5225-0.txt,1575,1878.6745829963054,"The Satyricon, Complete",Petronius Arbiter
52298-0.txt,1996,1906.6877374947737,Budge & Toddie,John Habberton
5232-0.txt,1603,1858.608958948665,Sejanus His Fall,Ben Jonson
52395-0.txt,1784,1907.2811403958392,Journal of my journey over the mountains,George Washington
52439-0.txt,1746,1888.1289369010015,An Essay to Shew the Cause of Electricity,John Freke
52494-0.txt,1665,1828.1273410550007,"The English Rogue: Continued in the Life of Meriton Latroon, And other Extravagants, Comprehending the most Eminent Cheats of Both Sexes",Francis Kirkman
52541-0.txt,1763,1883.3855812443755,An Essay on the Effects of Opium. Considered as a Poison,John Awsiter
52603-0.txt,1722,1844.6471271157227,"The History and Remarkable Life of the Truly Honourable Colonel Jacque, Commonly called Colonel Jack",Daniel Defoe
52603-8.txt,1722,1844.6682595892119,"The History and Remarkable Life of the Truly Honourable Colonel Jacque, Commonly called Colonel Jack",Daniel Defoe
52639-0.txt,1625,1837.656994512801,Moses and Aaron,Thomas Goodwin
52657.txt,1682,1890.3349360613397,"A Treatise of Cleanness in Meats and Drinks,",Tho. Tryon
52722-0.txt,1764,1897.4905195365625,An account of the manner of inoculating for the small pox in the East Indies,J. Z. Holwell
52769.txt,1711,1897.7352038870024,"A True Account of the Voyage of the Nottingham-Galley of London,",Christopher Langman
52902-0.txt,1750,1898.3465426372736,A Naval Expositior,Thomas Riley Blanckley
53032-0.txt,1999,1912.762316485284,William—An Englishman,Cicely Hamilton
53083-0.txt,1729,1839.5231014589212,The Antiquities of Constantinople,Pierre Gilles
53103-0.txt,1489,1905.0821273067595,Æsop's Fables,Æsop
53202-0.txt,1702,1838.2515791450976,A Mechanical Account of Poisons in Several Essays,Richard Mead
53216-0.txt,1753,1888.103753050073,"An Essay on the Incubus, or Night-mare",John Bond
53300-0.txt,1800,1904.1247440693323,Nature's Teachings,J. G. Wood
53346-0.txt,1736,1886.6254263249184,The Analogy of Religion to the Constitution and Course of Nature,Joseph Butler
53679-8.txt,1664,1834.0672743588277,"Philosophical Letters: or, modest Reflections upon some Opinions in Natural Philosophy",Margaret Cavendish
53839-0.txt,1800,1908.074851534249,Tragic Romances,Fiona Macleod
54001-0.txt,1667,1820.5406759239938,"Il nipotismo di Roma, or, The History of the Popes Nephews",Gregorio Leti
54043-0.txt,1708,1819.4758763664627,The Life of Cardinal Wolsey,George Cavendish
54048-0.txt,1800,1902.0873844216298,The Romany Rye,George Borrow
54058-8.txt,1796,1905.163337171016,Love Poems and Others,D. H. Lawrence
5419.txt,1743,1874.3564625214815,"The Satires, Epistles, and Art of Poetry",Horace
5430.txt,1747,1878.1928236093195,Preface to a Dictionary of the English Language,Samuel Johnson
5432.txt,1652,1884.4198302512261,Odes and Carmen Saeculare of Horace, Horace
54425-0.txt,1648,1807.1871380068133,"The English-American his Travail by Sea and Land: or, A New Survey of the West-India's",Thomas Gage
54474-8.txt,1800,1906.7919663266948,New Zealand,Reginald Horsley
54484-0.txt,1800,1904.1579009231666,Cardinal Pole,William Harrison Ainsworth
54505-8.txt,1720,1888.9291712062445,Poems,William Anderson
54505.txt,1720,1888.9321574030027,Poems,William Anderson
54596-8.txt,1800,1904.7398280355437,Nelly Channell,Sarah Doudney
54843-0.txt,1720,1892.4415383932658,"A Short Discourse Concerning Pestilential Contagion, and the Methods to Be Used to Prevent It",Richard Mead
54911-0.txt,1748,1884.7432297822313,An Account of the Sore Throat Attended With Ulcers,John Fothergill
54925-8.txt,1726,1892.5926102763985,"The Friendly Daemon, or the Generous Apparition",Daniel Defoe
54984-0.txt,1694,1810.5336937164677,"A serious proposal to the Ladies, for the advancement of their true and greatest interest (In Two Parts)",Mary Astell
5500-0.txt,1605,1829.625602453885,The Advancement of Learning,Francis Bacon
55002-0.txt,1996,1913.4463999989903,NetWorld!,David H. Rothman
55010-0.txt,1995,1938.268690376572,Charlestown Navy Yard,National Park Service
55010-8.txt,1995,1938.2686817136523,Charlestown Navy Yard,National Park Service
55170-0.txt,1762,1883.4120689003425,The Prophecy of Merlin and Other Poems,John Reade
55538-0.txt,1712,1821.47012888244,A Cruising Voyage Around the World,Woodes Rogers
55621-0.txt,1608,1901.2399218672606,Humors Looking Glasse,Samuel Rowlands
55814.txt,1790,1907.6728803438778,"The Comic Adventures of Old Mother Hubbard, and Her Dog",Sarah Catherine Martin
55922-0.txt,1722,1845.9823784891819,Richard Steele's Plays,Richard Steele
56053-0.txt,1662,1870.677626977427,The Day of Doom,Michael Wigglesworth
5608.txt,1729,1870.6867467176176,The Trial of the Witnessses of the Resurrection of Jesus Christ,Thomas Sherlock
56083-0.txt,1992,1932.683285190076,"De Soto, Coronado, Cabrillo",David Lavender
5611-0.txt,1575,1846.9171965698742,The Satyricon,Petronius Arbiter
56347.txt,1624,1796.9282743985873,"The General Historie of Virginia, New England and The Summer Isles  (Vol. I)",John Smith
56463-0.txt,1618,1837.8471166204263,Bacon's Essays and Wisdom of the Ancients,Francis Bacon
56487-0.txt,1678,1795.0417228491556,An Apology for the True Christian Divinity,Robert Barclay
56784-0.txt,1762,1905.0922431417061,The Theory and Practice of Brewing,Michael Combrune
56803-0.txt,1784,1891.5152842769005,Physical Amusements and Diverting Experiments,Giuseppe Pinetti
56926-0.txt,1750,1854.0135247209384,Robin Hood,Joseph Ritson
56978-0.txt,1800,1904.1549152647503,The Book of the Feet,Joseph Sparkes Hall
57020-0.txt,1696,1875.7315762875269,"The Regulating Silver Coin, Made Practicable and Easie, to the Government and Subject",Samuel Pratt
57576-0.txt,1729,1896.4144128053435,A Method of Tanning without Bark,William Maple
57596-0.txt,1696,1844.6070471482074,An essay in defence of the female sex,Judith Drake
57678-0.txt,1762,1885.0242138979331,"Elements of Criticism, Volume I.",Henry Home
57679-0.txt,1762,1897.3671565842321,"Elements of Criticism, Volume II.",Henry Home
57700-0.txt,1993,1893.703737935863,Toronto by Gaslight: The Night Hawks of a Great City,The Toronto News
57811-0.txt,1666,1873.7342384689662,A Character of the Province of Maryland,George Alsop
57972-0.txt,1995,1916.4896029477634,Acid Rain and Our Nation's Capital,Elaine McGee
57999-0.txt,1493,1855.5816891050745,The Tragedies of Seneca,Lucius Annaeus Seneca
58034-0.txt,1656,1916.108037473384,Hawaiian Flowers,Loraine E. Kuck
58034-8.txt,1656,1916.108037473385,Hawaiian Flowers,Loraine E. Kuck
58138-0.txt,1672,1906.6416769024474,The Anatomy of Vegetables Begun,Nehemiah Grew
58242-0.txt,1628,1905.716045306849,The Characters of Theophrastus,Theophrastus
58308-0.txt,1745,1850.236645232539,A Description of Greenland,Hans Egede
58393-0.txt,1597,1871.2083285775527,The Mirror of Alchimy,Roger Bacon
58559-8.txt,1618,1772.5957223953005,The Essays of Adam Smith,Adam Smith
586-0.txt,1642,1882.0502887381242,"Religio Medici, Hydriotaphia, and the Letter to a Friend",Thomas Browne
58716-0.txt,1666,1868.0226819455086,The Day of Doom,Michael Wigglesworth
58952-8.txt,1800,1903.2081707169489,The Red Chancellor,Sir William Magnay
59400-0.txt,1494,1875.955308462011,The History of Christianity,John S. C. Abbott
59432-0.txt,1823,1929.48659514633,Plays,Susan Glaspell
59501-0.txt,1764,1869.8908223209166,Hieroglyfic,Rowland Jones
59533-8.txt,1970,1855.4983840904433,Secret History,Leonora Sansay
59695-0.txt,1674,1875.5817517072328,The History of Lapland,John Scheffer
59698-0.txt,1774,1876.4750395815533,Observations on antimony,John Millar
